Block,Question ID,Question Text,Type,Required,Critical,Signal,Option 1,Score 1,Option 2,Score 2,Option 3,Score 3,Option 4,Score 4,Option 5,Score 5,Option 6,Score 6,Auto-Flag
Config,company_type,What type of company are you?,dropdown,TRUE,FALSE,Company Type,IT Product Company,-,IT Services / Outsourcing,-,Recruitment Agency / RPO,-,Non-IT Company,-,Mixed / Hybrid,-,,
Config,company_size,Company size (total headcount),dropdown,TRUE,FALSE,Size Tier,1-50 employees,-,51-200 employees,-,201-500 employees,-,501-1000 employees,-,1001-5000 employees,-,5000+ employees,-,
Config,monthly_volume,Average monthly hiring volume,dropdown,TRUE,FALSE,Hiring Scale,1-5 per month,-,6-15 per month,-,16-30 per month,-,31-50 per month,-,50+ per month,-,,
Config,hiring_pattern,Typical hiring pattern,dropdown,TRUE,FALSE,Planning Baseline,Mostly planned (>70%),-,Mixed (40-70%),-,Mostly reactive (<40%),-,,,,,,
Config,ta_function,Is there a dedicated TA function?,dropdown,TRUE,FALSE,TA Presence,Yes dedicated department,-,Partial,-,No HR handles,-,External only,-,,,,
Config,audit_tier,Desired audit depth,dropdown,TRUE,FALSE,Tier,Lite (~50 questions),-,Standard (~100),-,Premium (~150),-,,,,,,
Block 1,b1_q1,Is hiring formally included in your annual business planning?,dropdown,TRUE,FALSE,Planning Maturity,Yes part of annual plan,3,Partially (high-level),2,No planned reactively,1,No formal planning,0,Not relevant,-1,,size>100 & value=0
Block 1,b1_q2,At what level is hiring aligned with business goals?,dropdown,TRUE,FALSE,Business Integration,Fully aligned,3,Partially aligned,2,Weakly aligned,1,Not aligned,0,Not relevant,-1,,
Block 1,b1_q3,Who owns hiring outcome at business level?,dropdown,TRUE,TRUE,Accountability,CEO/Founder,3,COO/Business Ops,3,Head of HR/TA,2,Shared ownership,1,No clear owner,0,Not relevant,-1,value<=1
Block 1,b1_q4,Is hiring discussed as business responsibility?,dropdown,TRUE,FALSE,Org Framing,Business responsibility,3,Mixed,2,Mostly HR/TA,1,Support function,0,Not relevant,-1,,
Block 1,b1_q5,How often does leadership review hiring reports?,dropdown,TRUE,TRUE,Visibility,Monthly,3,Quarterly,2,Ad-hoc,1,Rarely/Never,0,Not relevant,-1,,CV:B7_Q2
Block 1,b1_q6,What visibility does leadership have into hiring progress?,dropdown,TRUE,FALSE,Risk Awareness,Clear visibility,3,High-level only,2,Limited,1,No visibility,0,Not relevant,-1,,
Block 1,b1_q7,Does business understand money lost to hiring delays?,dropdown,TRUE,FALSE,Financial Literacy,Yes clearly,3,General understanding,2,Suspect but unclear,1,No understanding,0,Not relevant,-1,,CV:B4_Q6
Block 1,b1_q8,Are hiring delays discussed in revenue/delivery context?,dropdown,TRUE,FALSE,Business Link,Regularly,3,Sometimes,2,Rarely,1,Never,0,Not relevant,-1,,
Block 1,b1_q9,Is hiring considered a potential execution bottleneck?,dropdown,TRUE,FALSE,Systems Thinking,Yes actively managed,3,Yes when escalates,2,Occasionally,1,Rarely/Never,0,Not relevant,-1,,CV:B6_backlog
Block 1,b1_q10,When hiring bottlenecks how does leadership react?,dropdown,TRUE,FALSE,Governance Stress,Re-prioritizes,3,Escalates pressure,2,Delegates to HR,1,Reacts ad-hoc,0,Not relevant,-1,,
Block 1,b1_q11,Are there regular meetings to prioritize hiring?,dropdown,TRUE,TRUE,Governance Structure,Yes regular cadence,3,Yes irregularly,2,Only critical,1,No meetings,0,Not relevant,-1,,CV:B3
Block 1,b1_q12,How are hiring priorities typically decided?,dropdown,TRUE,FALSE,Decision Logic,Business impact/strategy,3,Agreed criteria,3,Urgency/pressure,2,Who shouts louder,1,No prioritization,0,Not relevant,-1,value=1
Block 2,b2_q1,Do you have an annual hiring plan approved?,dropdown,TRUE,FALSE,Planning Maturity,Yes approved baselined,3,Approved but reworked,2,Partial (key depts),1,No annual plan,0,Not relevant,-1,,
Block 2,b2_q2,How is hiring demand collected?,dropdown,TRUE,FALSE,Intake Governance,Structured with rules,3,Structured varies by function,2,Ad-hoc chats/emails,1,Mostly escalations,0,Not relevant,-1,,
Block 2,b2_q3,Do you separate planned vs unplanned hiring?,dropdown,TRUE,FALSE,Planning Discipline,Yes consistently tracked,3,Partially tracked,2,No,1,Not sure,0,Not relevant,-1,,
Block 2,b2_q4,How often do you re-forecast hiring plan and capacity?,dropdown,TRUE,FALSE,Forecast Cadence,Monthly,3,Quarterly,2,Ad-hoc,1,Rarely/Never,0,Not relevant,-1,,
